msa_id,NAME,type,estimate,count,percap
26580,"Huntington-Ashland, WV-KY-OH",Metro Area,360603,87,2.41
45820,"Topeka, KS",Metro Area,233382,33,1.41
19140,"Dalton, GA",Metro Area,143407,34,2.37
40060,"Richmond, VA",Metro Area,1270158,145,1.14
31740,"Manhattan, KS",Metro Area,98884,9,0.91
16580,"Champaign-Urbana, IL",Metro Area,237849,23,0.97
42200,"Santa Maria-Santa Barbara, CA",Metro Area,442996,6,0.14
23540,"Gainesville, FL",Metro Area,277056,44,1.59
19740,"Denver-Aurora-Lakewood, CO",Metro Area,2798684,98,0.35
26140,"Homosassa Springs, FL",Metro Area,141373,27,1.91
31140,"Louisville/Jefferson County, KY-IN",Metro Area,1278203,167,1.31
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metro Area,514166,65,1.26
42680,"Sebastian-Vero Beach, FL",Metro Area,147981,17,1.15
15180,"Brownsville-Harlingen, TX",Metro Area,420201,53,1.26
45940,"Trenton, NJ",Metro Area,373362,18,0.48
18580,"Corpus Christi, TX",Metro Area,450183,61,1.36
29180,"Lafayette, LA",Metro Area,487633,125,2.56
41500,"Salinas, CA",Metro Area,433168,10,0.23
48260,"Weirton-Steubenville, WV-OH",Metro Area,120337,25,2.08
23580,"Gainesville, GA",Metro Area,192865,27,1.4
46060,"Tucson, AZ",Metro Area,1007257,63,0.63
48060,"Watertown-Fort Drum, NY",Metro Area,116567,21,1.8
12420,"Austin-Round Rock, TX",Metro Area,2000590,106,0.53
46700,"Vallejo-Fairfield, CA",Metro Area,434981,11,0.25
12020,"Athens-Clarke County, GA",Metro Area,202780,34,1.68
48620,"Wichita, KS",Metro Area,642339,73,1.14
16060,"Carbondale-Marion, IL",Metro Area,126592,27,2.13
15680,"California-Lexington Park, MD",Metro Area,110979,10,0.9
16540,"Chambersburg-Waynesboro, PA",Metro Area,153003,27,1.76
42140,"Santa Fe, NM",Metro Area,147514,9,0.61
42100,"Santa Cruz-Watsonville, CA",Metro Area,273263,5,0.18
38900,"Portland-Vancouver-Hillsboro, OR-WA",Metro Area,2382037,49,0.21
15260,"Brunswick, GA",Metro Area,115939,26,2.24
44420,"Staunton-Waynesboro, VA",Metro Area,120283,20,1.66
